"id","type_id","item_id","text","referencedTopic_id"
387,2,10133,volumes 1923-32 and 1936-39 for patents on bailey motors,
388,2,10134,volumes 1954-75 for gifts for freshman scholarship fund,
389,2,10134,volumes 1963-72 for gifts for michigan memorial--phoenix project gift fund,
390,2,10134,volumes 1951-69 for detroit edison co scholarship fund,
391,1,28715,SEE:  Detroit Edison Company Fellowship in Chemical Engineering and in Metallurgy,
392,1,28716,SEE:  Detroit Edison Company Fellowship in Highway Engineering,
393,2,10161,volumes 1936-57 for gifts,
394,1,28803,"The Detroit Bank and, merged: see Detroit Bank and Trust Company",
395,1,28842,SEE:  under name of fund for gifts to fund,
396,4,28858,,12132
397,2,10184,volumes 1910-17 and 1920-23 for extension course in,
398,2,10198,volumes 1963-84 for gifts,
399,3,28932,,44519
400,1,28938,SEE:  individual RP Indexes for Board of Directors,
401,2,10252,volumes 1963-72 for gifts,
402,3,29166,,10284
403,2,10322,"1948-51, 605",
404,1,29258,Chairman of Vocational Ed. Dept. no R.P. ref.,
405,1,29289,"Died August 23, 1976",
406,2,10337,"1929-32 through 1954-57",
407,1,29303,"Date of death, January 31, 1977",
408,1,29370,"SEE:  Dickinson, E. D., Distinguished University Professorship of Law",
409,2,10372,volumes from 1929 to 1945,
410,1,29387,"died March 22, 1966",
411,1,29482,"died November 30, 1969",
412,4,29695,,35392
413,3,29695,,39327
414,2,10487,"1876-91, 1896-01 for admission of students with, from accredited high schools",
415,3,29701,,28631
416,4,29702,,10527
417,2,10501,volumes 1951-69 for recipients of,
418,4,29820,,14995
419,4,29820,,35352
420,1,29867,"name changed to Distin. U. Profs. in Revised Bylaws as of 1968, no RP ref.",
421,2,10570,"1948-51 through 1966-69",
422,1,30000,"Co-ordinator of Student Teaching in Secondary Ed., 1948-51, 1951-54, 1954-57",
423,1,30080,"Assistant, RP volumes 1945-60",
424,1,30168,"Center for Res. in Dis. of Heart and Circ. Bd. of Sci. Dirs., RP 1960-75",
425,2,10655,"1942-45 through 1957-60",
426,1,30184,"died Dec. 8, 1972",
427,2,10656,"1939-42 and 1948-51 through 1957-60",
428,2,10736,"1942-45, 1948-51, 1951-54, 1954-57",
429,4,30503,,10779
430,3,30553,,41117
431,3,30554,,479
432,3,30557,,38342
433,3,30558,,11434
434,3,30559,,42489
435,1,30560,SEE:  Mosher Jordan Halls,
436,3,30565,,24232
437,3,30566,,37534
438,2,10812,"1942-45 through 1963-66",
439,1,30608,"died Jan. 31, 1973",
440,2,10869,"1837-64 through 1876-81",
441,4,30828,,10890
442,2,10915,volumes 1945-60 for budgets,
443,2,10922,"1910-14",
444,2,10931,"1939-63",
445,1,30912,"Senior Research Geophysicist, RP volumes 1963-72",
446,1,30914,"SEE ALSO:  Dow, William Gould, Professorship of Electrical Engineering",
447,1,31076,"died October 18, 1970",
448,3,31099,,31600
449,2,11003,"1906-10",
450,1,31195,"SEE ALSO:  Drew, N. C., and J. D. Carneal, Jr., Trustees",
451,2,11064,"1920-29 and 1936-39 for use of automobiles by students",
452,4,31305,,11074
453,1,31306,SEE:  Drug Addiction Research fund,
454,1,31306,SEE:  Squibb and Sons Fellowship,
455,3,31306,,11073
456,4,31402,,30005
457,1,31449,"died April 7, 1982",
458,2,11142,"1948-57",
459,2,11145,"1939-45",
460,2,11147,"volumes 1937-64, 1876-81 for committee appointments on board",
461,1,31505,"reappointed Regent, September 27, 1877, no R.P. ref.",
462,1,31543,"died November 5, 1971",
463,1,31595,SEE ALSO:  1942 through 1948-51,
464,2,11205,"1939-42",
465,1,31649,"died September 1, 1980",
466,2,11206,"1939-42 through 1954-57",
467,1,31656,"died September 2, 1972",
468,2,11208,"1939-42",
469,2,11221,"1936-39 through 1954-57",
470,1,31744,"Assistant in Rhetoric, RP volumes 1906-17",
471,2,11317,"1945-48, 1954-57",
472,1,31949,"Died November 25, 1977",
473,1,32033,"approved, no R.P. ref.",
474,1,32039,"Instructor in Law, RP volumes 1891-06",
475,2,11397,"1936-39 and 1942-45",
476,1,32183,"terminated, May 1977",
477,1,32236,"Died December 21, 1979",
478,2,11424,"1936-45, 1948-51, 1954-57, and 1957-60",
479,2,11427,"volumes 1920-26 for plans, etc",
480,3,32269,,2686
481,1,32278,"SEE:  Randall Laboratory of Physics, Harrison M.",
482,1,32285,"cost: $694,674.56, no R.P. ref.",
483,2,11478,"1936-39 through 1948-51",
484,1,32453,"Board of Dir. of U. Musical Society, RP 1932-63, 1966-69",
485,1,32455,"Treasurer of Alumni Association, RP 1932-54",
486,2,11534,"1942-45, 1954-57",
487,1,32570,"died December 16, 1971",
488,2,11540,"1960-75 for executive committees",
489,2,11549,"1914-20 and 1923-26 for member in assoc of collegiate schools of business",
490,2,11588,"1914-54",
491,1,32739,"SEE:  Edmondson Award, J. B.",
492,2,11590,"1906-14, 1917-20, 1929-39",
493,3,32801,,11633
494,3,32825,,18052
495,3,32840,,11602
496,4,32845,,40668
497,3,32846,,41371
498,2,11614,indexes for executive committees,
499,1,32868,"Ann A. VanDemark, Assistant Dean for Research, 1981-84, 551",
500,1,32893,"James B. Edmonson, 1929-52",
